comparison,outcome,min,Q25,median,mean,Q75,max,increased,decreased,unchanged
rel:Reference->Favorable|risk:Medium,F_total,-273034207.9376371,0.0,0.0,11967756.91436995,0.0,420412869.5396545,16,9,175
rel:Reference->Favorable|risk:Medium,F_Water,-17915363.859447412,0.0,0.0,160416.29234140317,0.0,17915363.859447412,9,10,181
rel:Reference->Favorable|risk:Medium,F_Vaccine,-3568575.3294039113,0.0,0.0,-87574.95837488766,0.0,2569295.314432353,7,12,181
rel:Reference->Favorable|risk:Medium,F_Crackers,-257688139.39262202,0.0,0.0,11894915.580403436,0.0,406066081.009611,16,6,178
rel:Reference->Favorable|risk:Medium,paid_R_any,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Reference->Favorable|risk:Medium,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Reference->Favorable|risk:Medium,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Reference->Favorable|risk:Medium,worst_shortage_Water,-10400000.0,0.0,0.0,-93122.8331972071,0.0,10400000.0,10,9,181
rel:Reference->Favorable|risk:Medium,worst_shortage_Vaccine,-1491494.7572223432,0.0,0.0,50837.90506540815,0.0,2071584.1284032632,12,7,181
rel:Reference->Favorable|risk:Medium,worst_shortage_Crackers,-235724335.58322453,0.0,0.0,-6905085.657579907,0.0,149589853.19575477,6,16,178
rel:Reference->Favorable|risk:Medium,worst_shortage_penalty,-2.384185791015625e-07,0.0,0.0,-1.1920928955078125e-09,0.0,2.384185791015625e-07,,,200
rel:Reference->Favorable|risk:Medium,T_COST,-2.384185791015625e-07,0.0,0.0,0.0,0.0,2.384185791015625e-07,,,200
rel:Reference->Favorable|risk:Medium,budget_usage,-2.220446049250313e-16,0.0,0.0,-2.220446049250313e-18,0.0,2.220446049250313e-16,,,200
rel:Unfavorable->Favorable|risk:Medium,F_total,-469110058.5386677,0.0,0.0,-564333.0874811856,0.0,358760607.62889606,20,21,159
rel:Unfavorable->Favorable|risk:Medium,F_Water,-17915363.859447412,0.0,0.0,-100283.8742989919,0.0,17915363.859447412,14,14,172
rel:Unfavorable->Favorable|risk:Medium,F_Vaccine,-3129094.671887938,0.0,0.0,7845.634558328444,0.0,3180733.9083164237,14,13,173
rel:Unfavorable->Favorable|risk:Medium,F_Crackers,-472290792.4469841,0.0,0.0,-471894.84774052247,0.0,344509691.1914243,20,20,160
rel:Unfavorable->Favorable|risk:Medium,paid_R_any,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Favorable|risk:Medium,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Favorable|risk:Medium,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Favorable|risk:Medium,worst_shortage_Water,-10400000.0,0.0,0.0,58215.5238873102,0.0,10400000.0,14,14,172
rel:Unfavorable->Favorable|risk:Medium,worst_shortage_Vaccine,-1846439.34145087,0.0,0.0,-4554.448352082349,0.0,1816462.3863039035,13,14,173
rel:Unfavorable->Favorable|risk:Medium,worst_shortage_Crackers,-199990400.22295833,0.0,0.0,273938.41704830766,0.0,274168265.8517959,20,20,160
rel:Unfavorable->Favorable|risk:Medium,worst_shortage_penalty,-2.384185791015625e-07,0.0,0.0,-2.384185791015625e-09,0.0,2.384185791015625e-07,,,200
rel:Unfavorable->Favorable|risk:Medium,T_COST,-2.384185791015625e-07,0.0,0.0,-1.1920928955078125e-09,0.0,2.384185791015625e-07,,,200
rel:Unfavorable->Favorable|risk:Medium,budget_usage,-2.220446049250313e-16,0.0,0.0,2.220446049250313e-18,0.0,4.440892098500626e-16,,,200
rel:Unfavorable->Reference|risk:High,F_total,-545037540.9767033,0.0,0.0,-15581279.054802187,0.0,280911168.8074807,21,29,150
rel:Unfavorable->Reference|risk:High,F_Water,-20938594.871777847,0.0,0.0,-516700.6649167883,0.0,20938594.871777847,5,10,185
rel:Unfavorable->Reference|risk:High,F_Vaccine,-1850895.7312976099,0.0,0.0,130079.12571732378,0.0,4076301.1215421744,25,10,165
rel:Unfavorable->Reference|risk:High,F_Crackers,-548733090.3607656,0.0,0.0,-15194657.515602719,0.0,282458602.2652901,20,28,152
